240x160,,,,,,,
aspect ratio 3:2,50,430713,522239,481664,443587,502099,480022
,55,460126,552608,512857,473516,531909,510678
,60,497101,590282,551228,509710,568331,548254
,65,541800,636722,598579,553823,612801,594041
,70,596551,694054,656788,608399,667285,650011
,75,659507,760112,723102,670825,728854,713211
,80,755353,863301,826269,767416,823900,810158
,85,888182,1007207,968917,901335,954915,944173
,90,1105119,1253449,1206491,1123771,1173367,1165284
,95,2082636,2373445,2264611,2118584,2178321,2169046
320x240,,,,,,,
aspect ratio 4:3,50,776636,925187,872875,806557,888755,862437
,55,830750,982275,931677,862254,944457,919355
,60,896874,1052871,1004012,930156,1012699,988763
,65,977516,1139783,1092806,1012726,1096111,1073231
,70,1077105,1247510,1202274,1114923,1198693,1177410
,75,1192611,1371907,1327331,1232576,1315039,1295265
,80,1366287,1565691,1521421,1414782,1494994,1477119
,85,1610412,1836952,1790363,1666789,1742259,1728259
,90,2010892,2304714,2243437,2089084,2158629,2148431
,95,3861621,4478618,4301182,4012779,4111937,4089944
480x320,,,,,,,
aspect ratio 3:2,50,1402147,1662191,1586137,1467127,1594095,1555904
,55,1499589,1767155,1695203,1570237,1697264,1660154
,60,1620245,1898153,1829733,1696450,1825538,1788694
,65,1766271,2060100,1995750,1850259,1981927,1946696
,70,1949332,2260339,2199549,2041393,2172757,2139718
,75,2157662,2490810,2432060,2259842,2389494,2358946
,80,2476857,2851698,2794483,2599949,2725417,2697873
,85,2921412,3357145,3297945,3072966,3189319,3167070
,90,3662321,4235362,4150393,3866177,3974258,3955376
,95,7187144,8445856,8144247,7597936,7762540,7714810
800x600,,,,,,,
aspect ratio 4:3,50,3629592,4335051,4136208,3807476,4124558,4028622
,55,3887541,4613930,4429240,4083855,4403591,4309825
,60,4202772,4962025,4790599,4421764,4748534,4655238
,65,4589199,5392418,5237837,4833918,5170379,5079946
,70,5070145,5928554,5788192,5347072,5688663,5601675
,75,5614294,6538549,6410487,5927486,6271209,6186846
,80,6468744,7510602,7395993,6846775,7191193,7110868
,85,7664668,8889404,8775988,8131817,8465030,8397193
,90,9694175,11323576,11157007,10317800,10659315,10595092
,95,20013327,23847511,23100053,21309747,21975048,21823847
960x640,,,,,,,
aspect ratio 3:2,50,4470520,5351304,5103124,4694221,5087778,4971501
,55,4787814,5696179,5465231,5035956,5433951,5320663
,60,5178784,6129053,5915109,5456072,5862902,5751817
,65,5655879,6662650,6470267,5967231,6387065,6278627
,70,6250723,7327635,7152889,6603414,7029905,6927162
,75,6923728,8086277,7927941,7323823,7755492,7656197
,80,7984374,9295122,9153937,8467332,8902438,8807460
,85,9471677,11014653,10875751,10068760,10493102,10412034
,90,12003596,14059532,13857899,12800149,13239670,13165095
,95,25029239,29870419,28958338,26673234,27543881,27351388
1152x864,,,,,,,
aspect ratio 4:3,50,6728459,8106577,7692972,7046096,7670537,7493499
,55,7204799,8620374,8237243,7555827,8190302,8017183
,60,7799706,9281674,8927313,8198221,8850320,8680012
,65,8525606,10090854,9772422,8973532,9648452,9482590
,70,9429757,11103781,10815914,9941758,10631892,10474343
,75,10455137,12259897,11999349,11039261,11741664,11591150
,80,12087304,14122255,13892205,12797226,13515935,13367173
,85,14381769,16787411,16565307,15261270,15984076,15857795
,90,18323051,21544470,21237574,19491616,20284014,20167800
,95,39244318,47024808,45633276,41663197,43372473,43049589
1400x1050,,,,,,,
aspect ratio 4:3,50,9260698,11230710,10593269,9663895,10568788,10306306
,55,9920082,11941523,11347955,10372476,11291896,11036229
,60,10749928,12863942,12311432,11268280,12220463,11967804
,65,11758994,13986475,13493207,12346531,13332004,13087146
,70,13018991,15396504,14951857,13695146,14708708,14475960
,75,14448583,17005531,16606360,15223253,16262842,16036090
,80,16745706,19621036,19273662,17688751,18767149,18546923
,85,19973701,23374862,23045100,21145861,22256298,22061230
,90,25542912,30091856,29667216,27093199,28352378,28173888
,95,55377334,66436572,64579025,58555680,61420528,60945087
1600x1200,,,,,,,
aspect ratio 4:3,50,11487429,14000266,13159096,11969351,13144519,12813895
,55,12303737,14878970,14097320,12844357,14040859,13716152
,60,13344760,16038826,15309920,13969879,15211132,14890914
,65,14610183,17448928,16791892,15323172,16609751,16296750
,70,16182322,19207087,18615263,17001784,18326025,18030676
,75,17974202,21227234,20692840,18916522,20278557,19994606
,80,20856282,24514059,24051094,22005587,23431358,23156768
,85,24915023,29243925,28809376,26342089,27833691,27597754
,90,31949200,37755044,37208866,33827622,35570942,35356519
,95,70188695,84357233,82041970,74015634,78030024,77400066
2048x1536,,,,,,,
aspect ratio 4:3,50,16876575,20781786,19284156,17408996,19305333,18766179
,55,18138227,22146871,20737802,18758492,20706143,20179485
,60,19720181,23905345,22579539,20447219,22470834,21952468
,65,21713607,26138226,24926764,22569176,24696805,24196449
,70,24188047,28905363,27793388,25187321,27403339,26936964
,75,27038689,32125625,31107916,28207218,30524090,30077723
,80,31662724,37411851,36516385,33096250,35597747,35167060
,85,38202262,45034257,44186662,39978279,42691838,42317643
,90,49667874,58919895,57951364,52046338,55374148,55011194
,95,110176583,132700550,129206766,115252200,122912782,121764847